                PC      BP      SP      Stack
Initial values: 10      499     500

  JMP 0 106      106      499     500
  INC 0 8       109      499     492     0 0 0 0 0 0 0 0
  LIT 0 1       112      499     491     0 0 0 0 0 0 0 0 1
  STO 0 3       115      499     492     0 0 0 1 0 0 0 0
  LIT 0 2       118      499     491     0 0 0 1 0 0 0 0 2
  STO 0 4       121      499     492     0 0 0 1 2 0 0 0
  LIT 0 3       124      499     491     0 0 0 1 2 0 0 0 3
  STO 0 5       127      499     492     0 0 0 1 2 3 0 0
  LIT 0 4       130      499     491     0 0 0 1 2 3 0 0 4
  STO 0 6       133      499     492     0 0 0 1 2 3 4 0
  LIT 0 5       136      499     491     0 0 0 1 2 3 4 0 5
  STO 0 7       139      499     492     0 0 0 1 2 3 4 5
  LOD 0 6       142      499     491     0 0 0 1 2 3 4 5 4
  LOD 0 7       145      499     490     0 0 0 1 2 3 4 5 4 5
  ADD 0 1       148      499     491     0 0 0 1 2 3 4 5 9
  STO 0 3       151      499     492     0 0 0 9 2 3 4 5
  LOD 0 5       154      499     491     0 0 0 9 2 3 4 5 3
Output result is: 3
  SYS 0 1       157      499     492     0 0 0 9 2 3 4 5
  CAL 0 13      13       491     492     0 0 0 9 2 3 4 5
  JMP 0 79      79       491     492     0 0 0 9 2 3 4 5
  INC 0 7       82       491     485     0 0 0 9 2 3 4 5 | 499 499 160 0 0 0 0
  LIT 0 2       85       491     484     0 0 0 9 2 3 4 5 | 499 499 160 0 0 0 0 2
  STO 1 5       88       491     485     0 0 0 9 2 2 4 5 | 499 499 160 0 0 0 0
  LOD 1 5       91       491     484     0 0 0 9 2 2 4 5 | 499 499 160 0 0 0 0 2
  LOD 1 7       94       491     483     0 0 0 9 2 2 4 5 | 499 499 160 0 0 0 0 2 5
  ADD 0 1       97       491     484     0 0 0 9 2 2 4 5 | 499 499 160 0 0 0 0 7
  STO 0 5       100      491     485     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0
  CAL 0 16      16       484     485     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0
  JMP 0 52      52       484     485     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0
  INC 0 6       55       484     479     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 0 0 0
  LOD 1 3       58       484     478     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 0 0 0 0
  LOD 1 5       61       484     477     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 0 0 0 0 7
  ADD 0 1       64       484     478     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 0 0 0 7
  LOD 2 7       67       484     477     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 0 0 0 7 5
  ADD 0 1       70       484     478     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 0 0 0 12
  STO 0 3       73       484     479     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0
  CAL 0 19      19       478     479     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0
  JMP 0 22      22       478     479     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0
  INC 0 5       25       478     474     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0 | 484 484 76 0 0
  LIT 0 1       28       478     473     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0 | 484 484 76 0 0 1
  STO 0 4       31       478     474     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0 | 484 484 76 0 1
  LOD 0 3       34       478     473     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0 | 484 484 76 0 1 0
  LOD 0 4       37       478     472     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0 | 484 484 76 0 1 0 1

  ADD 0 1       40       478     473     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0 | 484 484 76 0 1 1
  LOD 3 7       43       478     472     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0 | 484 484 76 0 1 1 5

  ADD 0 1       46       478     473     0 0 0 9 2 2 4 5 | 499 499 160 0 0 7 0 | 491 491 103 12 0 0 | 484 484 76 0 1 6
  STO 2 3       49       478     474     0 0 0 9 2 2 4 5 | 499 499 160 6 0 7 0 | 491 491 103 12 0 0 | 484 484 76 0 1
  RTN 0 0       76       484     479     0 0 0 9 2 2 4 5 | 499 499 160 6 0 7 0 | 491 491 103 12 0 0
  RTN 0 0       103      491     485     0 0 0 9 2 2 4 5 | 499 499 160 6 0 7 0
  RTN 0 0       160      499     492     0 0 0 9 2 2 4 5
  SYS 0 3       163      499     492     0 0 0 9 2 2 4 5
